"Name","Seasons","Average corrVOL","Average wRC+"
"Alfredo Amezaga",3,98.5,77
"Garret Anderson",15,100.1,101
"David Eckstein",9,99.4,92
"Darin Erstad",10,99.3,97
"Jorge Fabregas",1,104.4,66
"Brad Fullmer",4,100.3,111
"Benji Gil",3,100.1,56
"Troy Glaus",9,104.1,122
"Adam Kennedy",11,101.2,90
"Bengie Molina",9,101.7,86
"Jose Molina",2,98.1,65
"Orlando Palmeiro",8,96,89
"Tim Salmon",9,101.3,135
"Scott Spiezio",8,100.5,96
"Rod Barajas",5,100.7,79
"Danny Bautista",2,98.9,90
"Jay Bell",12,101.3,106
"Alex Cintron",3,102.9,84
"Greg Colbrunn",3,99.7,109
"Craig Counsell",11,99.1,82
"Steve Finley",16,102.6,105
"Luis Gonzalez",18,100.6,118
"Mark Grace",15,96.3,121
"Jose Guillen",8,101.2,106
"Damian Miller",6,100,89
"Chad Moeller",1,99.2,45
"Junior Spivey",2,101.2,111
"Matt Williams",10,101.1,114
"Tony Womack",9,100.8,73
"Ernie Young",1,103.4,92
"Henry Blanco",2,102.2,59
"Darren Bragg",5,98.1,92
"Vinny Castilla",11,102.6,96
"Julio Franco",17,96.7,114
"Rafael Furcal",9,100.8,98
"Marcus Giles",5,100.1,109
"Wes Helms",6,99.5,90
"Andruw Jones",12,102.8,115
"Chipper Jones",17,100.7,142
"Ryan Langerhans",3,99.9,85
"Javy Lopez",9,101.2,115
"Gary Sheffield",16,100.1,145
"B.J. Surhoff",15,100,96
"Chad Allen",1,100.8,82
"Alex Arias",1,95.8,96
"Tony Batista",7,103.6,91
"Larry Bigbie",1,100.3,102
"Mike Bordick",11,98.1,85
"Jeff Conine",14,101,109
"Marty Cordova",7,101.6,105
"Brook Fordyce",2,96.7,92
"Jay Gibbons",3,102.2,110
"Geronimo Gil",1,99.4,67
"Jerry Hairston",7,99.7,83
"Luis Matos",2,99.6,106
"Gary Matthews Jr.",8,101,95
"Ryan McGuire",1,100.1,48
"Melvin Mora",10,100.2,106
"Chris Richard",1,97.7,105
"Brian Roberts",7,98,109
"David Segui",7,96.9,117
"Chris Singleton",5,101.1,85
"Carlos Baerga",10,101,102
"Tony Clark",10,101.7,116
"Johnny Damon",16,100.7,106
"Brian Daubach",4,102.9,111
"Nomar Garciaparra",8,101.6,129
"Rickey Henderson",20,94.3,134
"Shea Hillenbrand",6,101.7,97
"Trot Nixon",7,101.7,118
"Jose Offerman",10,99.3,101
"Manny Ramirez",15,100.9,155
"Will Venable",6,102,101
"Rey Sanchez",9,99,67
"Jason Varitek",10,102.3,100
"Sandy Alomar Jr.",4,100,93
"Joe Borchard",1,101.1,84
"Royce Clayton",14,100.7,77
"Joe Crede",4,100.2,93
"Ray Durham",14,99.8,105
"Tony Graffanino",3,103,91
"Willie Harris",6,101.9,92
"Paul Konerko",15,101.5,121
"Carlos Lee",14,100.3,112
"Kenny Lofton",15,99.1,111
"Magglio Ordonez",10,100.5,130
"Aaron Rowand",9,99.9,99
"Frank Thomas",14,98,156
"Jose Valentin",10,103.5,97
"Moises Alou",12,102.5,130
"Mark Bellhorn",3,98,113
"Roosevelt Brown",1,100.3,67
"Hee Seop Choi",2,102.1,112
"Delino DeShields",10,96.9,103
"Joe Girardi",5,101.9,72
"Alex Gonzalez",9,100.1,80
"Bobby Hill",1,95.4,85
"Todd Hundley",5,103,101
"Darren Lewis",6,99.7,76
"Fred McGriff",16,101,136
"Bill Mueller",8,99.1,111
