"Name","Season","Games","PA","PA_G","wRC","wRC_plus","VOL","expectedVOL","corrVOL"
"Alfredo Amezaga",2006,132,378,2.9,33.2,75,0.669,0.696,96.1
"Alfredo Amezaga",2007,133,448,3.4,44.6,79,0.68,0.678,100.3
"Alfredo Amezaga",2008,125,337,2.7,31.7,77,0.683,0.695,98.2
"Garret Anderson",1995,104,400,3.8,60,117,0.638,0.637,100.2
"Garret Anderson",1996,150,642,4.3,67.8,79,0.647,0.651,99.3
"Garret Anderson",1997,154,662,4.3,75.5,92,0.624,0.644,96.9
"Garret Anderson",1998,155,658,4.2,80.2,97,0.626,0.639,98
"Garret Anderson",1999,157,660,4.2,85.3,98,0.637,0.633,100.6
"Garret Anderson",2000,159,681,4.3,89.5,99,0.635,0.628,101.1
"Garret Anderson",2001,161,704,4.4,90.6,104,0.623,0.627,99.3
"Garret Anderson",2002,158,678,4.3,99,123,0.614,0.615,99.9
"Garret Anderson",2003,159,673,4.2,104.2,129,0.619,0.609,101.6
"Garret Anderson",2004,112,475,4.2,60.3,106,0.633,0.638,99.2
"Garret Anderson",2005,142,603,4.2,65,93,0.662,0.651,101.7
"Garret Anderson",2006,141,588,4.2,64.4,90,0.637,0.651,97.8
"Garret Anderson",2007,108,450,4.2,59.4,110,0.64,0.637,100.5
"Garret Anderson",2008,145,593,4.1,69,98,0.678,0.648,104.6
"Garret Anderson",2009,135,534,4,53.3,83,0.669,0.663,100.8
"David Eckstein",2001,148,664,4.5,74.5,95,0.62,0.64,96.9
"David Eckstein",2002,152,702,4.6,86.4,105,0.617,0.626,98.6
"David Eckstein",2003,120,517,4.3,47.1,78,0.662,0.66,100.3
"David Eckstein",2004,142,637,4.5,60.8,83,0.657,0.654,100.4
"David Eckstein",2005,158,713,4.5,90.3,105,0.625,0.625,100
"David Eckstein",2006,123,552,4.5,60,87,0.656,0.644,101.9
"David Eckstein",2007,117,484,4.1,57.8,97,0.633,0.646,98
"David Eckstein",2009,136,568,4.2,49.4,84,0.655,0.668,98.1
"David Eckstein",2010,116,492,4.2,43,85,0.667,0.664,100.5
"Darin Erstad",1997,138,605,4.4,85.6,115,0.612,0.62,98.8
"Darin Erstad",1998,133,592,4.5,85.2,114,0.612,0.616,99.3
"Darin Erstad",1999,142,638,4.5,59.7,70,0.681,0.656,103.9
"Darin Erstad",2000,157,747,4.8,137.3,140,0.546,0.56,97.6
"Darin Erstad",2001,157,716,4.6,71.4,83,0.645,0.649,99.4
"Darin Erstad",2002,150,663,4.4,66,84,0.66,0.653,101.1
"Darin Erstad",2004,125,543,4.3,65.4,99,0.63,0.639,98.6
"Darin Erstad",2005,153,667,4.4,66.6,87,0.632,0.654,96.6
"Darin Erstad",2008,140,342,2.4,30.4,76,0.712,0.708,100.5
"Darin Erstad",2009,107,150,1.4,8.3,51,0.659,0.725,91
"Jorge Fabregas",1997,112,385,3.4,29.9,66,0.714,0.685,104.3
"Brad Fullmer",1998,139,547,3.9,68.5,100,0.665,0.646,102.9
"Brad Fullmer",2000,133,524,3.9,83.7,118,0.616,0.622,99
"Brad Fullmer",2001,146,573,3.9,68.6,96,0.677,0.651,104
"Brad Fullmer",2002,130,479,3.7,75.7,132,0.595,0.633,94.1
"Benji Gil",1995,128,454,3.5,31.5,53,0.704,0.692,101.8
"Benji Gil",1997,108,345,3.2,20.7,45,0.691,0.696,99.3
"Benji Gil",2000,103,343,3.3,31.9,72,0.665,0.677,98.2
"Troy Glaus",1999,154,631,4.1,81.8,96,0.664,0.637,104.3
"Troy Glaus",2000,159,678,4.3,135.4,150,0.584,0.567,103
"Troy Glaus",2001,161,708,4.4,116.1,133,0.623,0.593,105
"Troy Glaus",2002,156,671,4.3,92.7,114,0.646,0.622,103.9
"Troy Glaus",2005,149,634,4.3,103.2,125,0.603,0.604,99.9
"Troy Glaus",2006,153,634,4.1,96.9,119,0.672,0.616,109.1
"Troy Glaus",2007,115,456,4,68.9,122,0.678,0.63,107.6
"Troy Glaus",2008,151,637,4.2,99.2,128,0.634,0.611,103.8
"Troy Glaus",2010,128,483,3.8,59.4,104,0.654,0.652,100.2
"Adam Kennedy",2000,156,641,4.1,59,72,0.71,0.668,106.2
"Adam Kennedy",2001,136,532,3.9,51.5,81,0.693,0.667,103.9
"Adam Kennedy",2002,144,509,3.5,67.3,111,0.65,0.654,99.4
"Adam Kennedy",2003,143,510,3.6,60.4,99,0.645,0.662,97.5
"Adam Kennedy",2004,144,533,3.7,61.7,101,0.688,0.66,104.2
"Adam Kennedy",2005,129,460,3.6,52.4,98,0.644,0.664,97
"Adam Kennedy",2006,139,503,3.6,52.8,85,0.648,0.669,96.8
"Adam Kennedy",2008,115,365,3.2,35,81,0.703,0.681,103.2
"Adam Kennedy",2009,129,587,4.6,71.1,103,0.666,0.632,105.4
"Adam Kennedy",2010,135,389,2.9,37,80,0.662,0.693,95.5
"Adam Kennedy",2011,114,409,3.6,31.3,75,0.678,0.682,99.3
"Bengie Molina",2000,129,513,4,57.4,84,0.674,0.654,103
"Bengie Molina",2002,122,459,3.8,28.3,54,0.691,0.69,100.1
"Bengie Molina",2003,119,430,3.6,48.5,94,0.665,0.663,100.3
"Bengie Molina",2005,119,449,3.8,56.1,108,0.639,0.651,98.1
"Bengie Molina",2006,117,458,3.9,58.8,99,0.644,0.646,99.7
"Bengie Molina",2007,134,517,3.9,56.4,85,0.659,0.66,99.9
"Bengie Molina",2008,145,569,3.9,67.3,96,0.679,0.652,104.2
"Bengie Molina",2009,132,520,3.9,52.8,86,0.701,0.663,105.7
"Bengie Molina",2010,118,416,3.5,30.8,65,0.7,0.686,102
"Jose Molina",2008,100,297,3,16.7,51,0.693,0.698,99.3
"Jose Molina",2012,102,274,2.7,24.2,81,0.668,0.691,96.7
"Orlando Palmeiro",1999,104,372,3.6,40.1,84,0.643,0.665,96.7
"Orlando Palmeiro",2000,101,296,2.9,40.4,109,0.664,0.667,99.5
"Orlando Palmeiro",2002,110,300,2.7,34.5,98,0.656,0.682,96.1
"Orlando Palmeiro",2003,141,364,2.6,34.6,81,0.684,0.702,97.4
"Orlando Palmeiro",2004,102,156,1.5,16.2,83,0.656,0.71,92.4
"Orlando Palmeiro",2005,114,231,2,27.7,102,0.696,0.699,99.6
"Orlando Palmeiro",2006,103,128,1.2,9.2,59,0.617,0.722,85.4
"Orlando Palmeiro",2007,101,122,1.2,9.7,67,0.63,0.72,87.5
"Tim Salmon",1993,141,610,4.3,106.2,143,0.57,0.595,95.9
"Tim Salmon",1995,143,638,4.5,136.3,163,0.568,0.554,102.5
"Tim Salmon",1996,156,681,4.4,114,123,0.6,0.593,101.2
"Tim Salmon",1997,157,695,4.4,119.6,137,0.612,0.586,104.4
"Tim Salmon",1998,136,566,4.2,103.5,143,0.598,0.596,100.4
"Tim Salmon",2000,157,680,4.3,125.6,138,0.593,0.579,102.5
"Tim Salmon",2001,137,581,4.2,74.7,104,0.662,0.635,104.3
"Tim Salmon",2002,138,568,4.1,92.9,135,0.619,0.612,101.2
"Tim Salmon",2003,148,621,4.2,94.3,124,0.61,0.616,99.1
"Scott Spiezio",1997,146,590,4,56.9,79,0.669,0.666,100.5
"Scott Spiezio",1998,113,461,4.1,48.7,87,0.679,0.655,103.6
"Scott Spiezio",2000,115,345,3,45,98,0.699,0.669,104.4
"Scott Spiezio",2001,137,503,3.7,60.3,99,0.675,0.658,102.7
"Scott Spiezio",2002,153,571,3.7,77.8,116,0.605,0.644,93.9
"Scott Spiezio",2003,158,581,3.7,70,102,0.643,0.658,97.8
"Scott Spiezio",2004,112,415,3.7,32.4,67,0.698,0.679,102.8
"Scott Spiezio",2006,119,321,2.7,50.1,123,0.675,0.667,101.2
"Rod Barajas",2004,108,389,3.6,38.5,75,0.689,0.669,103
"Rod Barajas",2005,120,450,3.8,54.7,98,0.647,0.654,99
"Rod Barajas",2008,104,377,3.6,38.9,84,0.653,0.666,98
"Rod Barajas",2009,125,460,3.7,36.4,65,0.678,0.682,99.4
"Rod Barajas",2012,104,361,3.5,27.7,70,0.712,0.682,104.4
"Danny Bautista",2000,120,388,3.2,49.2,98,0.668,0.665,100.4
"Danny Bautista",2004,141,582,4.1,66.7,85,0.635,0.649,97.9
"Jay Bell",1990,158,696,4.4,66.6,97,0.66,0.657,100.4
"Jay Bell",1991,157,697,4.4,82,116,0.666,0.636,104.7
"Jay Bell",1992,158,712,4.5,75.9,105,0.624,0.644,96.9
